MODIFIED_ZCTA,NEIGHBORHOOD_NAME,BOROUGH_GROUP,COVID_CASE_COUNT,COVID_CASE_RATE,POP_DENOMINATOR,COVID_DEATH_COUNT,COVID_DEATH_RATE,PERCENT_POSITIVE,TOTAL_COVID_TESTS
10029,East Harlem,Manhattan,1908,2420.04,78841.52,211,267.63,14.58,13083
10030,Central Harlem (North),Manhattan,539,1838.22,29321.91,56,190.98,13.32,4046
10031,Hamilton Heights/West Harlem,Manhattan,1423,2349.85,60556.93,131,216.33,13.98,10176
10032,Washington Heights (South),Manhattan,1647,2678.37,61492.57,173,281.33,15.33,10746
10033,Washington Heights (North)/Washington Heights (South),Manhattan,1439,2430.31,59210.43,120,202.67,15.25,9438
10034,Inwood/Washington Heights (North),Manhattan,780,1810.85,43073.65,70,162.51,12.38,6302
10035,East Harlem,Manhattan,1069,3105.15,34426.65,133,386.33,16.42,6509
10036,Hell's Kitchen/Midtown Manhattan,Manhattan,475,1812.2,26211.25,39,148.79,9.14,5198
10037,Central Harlem (North)/East Harlem,Manhattan,550,2663.49,20649.62,63,305.09,13.76,3997
10038,Chinatown/Financial District,Manhattan,263,1192.85,22047.96,28,127,8.71,3018
10039,Central Harlem (North)/Washington Heights (South),Manhattan,558,2109.04,26457.52,64,241.9,14.9,3746
10040,Washington Heights (North),Manhattan,1196,2669.15,44808.28,118,263.34,15.92,7513
10044,Roosevelt Island,Manhattan,246,2102.51,11700.29,36,307.68,12.57,1957
10065,Lenox Hill/Upper East Side,Manhattan,336,1156.17,29061.49,28,96.35,6.02,5585
10069,Lincoln Square,Manhattan,62,978.21,6338.13,2,31.56,6.39,971
10075,Lenox Hill/Upper East Side,Manhattan,434,1836.33,23634.14,45,190.4,9.07,4787
10128,Upper East Side/Yorkville,Manhattan,677,1103.47,61351.93,42,68.46,6.66,10159
10280,Battery Park City,Manhattan,60,623.79,9618.7,0,0,5.84,1027
